,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2020,MI,FT,Data Scientist,70000,EUR,79833.0,DE,0,DE,L
1,2020,SE,FT,Machine Learning Developer,260000,USD,260000.0,JP,0,JP,S
2,2020,SE,FT,Data Engineer,85000,GBP,109024.0,GB,50,GB,M
3,2020,MI,FT,Data Analyst,20000,USD,20000.0,HN,0,HN,S
4,2020,SE,FT,Machine Learning Developer,150000,USD,150000.0,US,50,US,L
5,2020,EN,FT,Data Analyst,72000,USD,72000.0,US,100,US,L
6,2020,SE,FT,Data Scientist,190000,USD,190000.0,US,100,US,S
7,2020,MI,FT,Data Scientist,11000000,HUF,35735.0,HU,50,HU,L
8,2020,MI,FT,Data Analyst,135000,USD,135000.0,US,100,US,L
9,2020,SE,FT,Data Engineer,125000,USD,125000.0,NZ,50,NZ,S
10,2020,EN,FT,Data Scientist,45000,EUR,51321.0,FR,0,FR,S
11,2020,MI,FT,Data Scientist,3000000,INR,40481.0,IN,0,IN,L
12,2020,EN,FT,Data Scientist,35000,EUR,39916.0,FR,0,FR,M
13,2020,MI,FT,Data Analyst,87000,USD,87000.0,US,100,US,L
14,2020,MI,FT,Data Analyst,85000,USD,85000.0,US,100,US,L
15,2020,MI,FT,Data Analyst,8000,USD,8000.0,PK,50,PK,L
16,2020,EN,FT,Data Engineer,4450000,JPY,41689.0,JP,100,JP,S
17,2020,SE,FT,Data Engineer,100000,EUR,114047.0,PL,100,GB,S
18,2020,EN,FT,Data Scientist,423000,INR,5707.0,IN,50,IN,M
19,2020,MI,FT,Data Engineer,56000,USD,56000.0,PT,100,US,M
20,2020,MI,FT,Machine Learning Developer,299000,CNY,43331.0,CN,0,CN,M
21,2020,MI,FT,Data Analyst,450000,INR,6072.0,IN,100,IN,L
22,2020,SE,FT,Data Engineer,42000,EUR,47899.0,GR,50,GR,L
23,2020,MI,FT,Data Analyst,98000,USD,98000.0,US,0,US,M
24,2020,MI,FT,Data Scientist,115000,USD,115000.0,AE,0,AE,L
26,2020,EN,FT,Data Scientist,42000,USD,42000.0,NL,50,NL,L
27,2020,SE,FT,Data Engineer,720000,MXN,33511.0,MX,0,MX,S
28,2020,EN,CT,Data Analyst,100000,USD,100000.0,US,100,US,L
29,2020,SE,FT,Machine Learning Developer,157000,CAD,117104.0,CA,50,CA,L
30,2020,MI,FT,Data Engineer,51999,EUR,59303.0,DE,100,DE,S
31,2020,EN,FT,Data Engineer,70000,USD,70000.0,US,100,US,L
32,2020,SE,FT,Data Scientist,60000,EUR,68428.0,GR,100,US,L
34,2020,MI,FT,Data Analyst,41000,EUR,46759.0,FR,50,FR,L
35,2020,MI,FT,Data Engineer,65000,EUR,74130.0,AT,50,AT,L
36,2020,MI,FT,Data Scientist,103000,USD,103000.0,US,100,US,L
37,2020,EN,FT,Machine Learning Developer,250000,USD,250000.0,US,50,US,L
38,2020,EN,FT,Data Analyst,10000,USD,10000.0,NG,100,NG,S
39,2020,EN,FT,Machine Learning Developer,138000,USD,138000.0,US,100,US,S
40,2020,MI,FT,Data Scientist,45760,USD,45760.0,PH,100,US,S
41,2020,EX,FT,Data Engineer,70000,EUR,79833.0,ES,50,ES,L
42,2020,MI,FT,Machine Learning Developer,44000,EUR,50180.0,PT,0,PT,M
43,2020,MI,FT,Data Engineer,106000,USD,106000.0,US,100,US,L
44,2020,MI,FT,Data Engineer,88000,GBP,112872.0,GB,50,GB,L
45,2020,EN,PT,Data Engineer,14000,EUR,15966.0,DE,100,DE,S
46,2020,MI,FT,Data Scientist,60000,GBP,76958.0,GB,100,GB,S
47,2020,SE,FT,Data Engineer,188000,USD,188000.0,US,100,US,L
48,2020,MI,FT,Data Scientist,105000,USD,105000.0,US,100,US,L
49,2020,MI,FT,Data Engineer,61500,EUR,70139.0,FR,50,FR,L
50,2020,EN,FT,Data Analyst,450000,INR,6072.0,IN,0,IN,S
51,2020,EN,FT,Data Analyst,91000,USD,91000.0,US,100,US,L
52,2020,EN,FT,Data Scientist,300000,DKK,45896.0,DK,50,DK,S
53,2020,EN,FT,Data Engineer,48000,EUR,54742.0,PK,100,DE,L
54,2020,SE,FL,Data Engineer,60000,USD,60000.0,RU,100,US,S
55,2020,SE,FT,Data Scientist,130000,EUR,148261.0,DE,100,DE,M
56,2020,MI,FT,Data Scientist,34000,EUR,38776.0,ES,100,ES,M
57,2020,MI,FT,Data Scientist,118000,USD,118000.0,US,100,US,M
58,2020,SE,FT,Data Scientist,120000,USD,120000.0,US,50,US,L
59,2020,MI,FT,Data Scientist,138350,USD,138350.0,US,100,US,M
60,2020,MI,FT,Data Engineer,110000,USD,110000.0,US,100,US,L
61,2020,MI,FT,Data Engineer,130800,USD,130800.0,ES,100,US,M
62,2020,EN,PT,Data Scientist,19000,EUR,21669.0,IT,50,IT,S
64,2020,SE,FT,Machine Learning Developer,40000,EUR,45618.0,HR,100,HR,S
65,2020,EN,FT,Data Scientist,55000,EUR,62726.0,DE,50,DE,S
66,2020,EN,FT,Data Scientist,43200,EUR,49268.0,DE,0,DE,S
67,2020,SE,FT,Data Scientist,190200,USD,190200.0,US,100,US,M
68,2020,EN,FT,Data Scientist,105000,USD,105000.0,US,100,US,S
69,2020,SE,FT,Data Scientist,80000,EUR,91237.0,AT,0,AT,S
70,2020,MI,FT,Data Scientist,55000,EUR,62726.0,FR,50,LU,S
71,2020,MI,FT,Data Scientist,37000,EUR,42197.0,FR,50,FR,S
72,2021,EN,FT,Data Scientist,60000,GBP,82528.0,GB,50,GB,L
73,2021,EX,FT,Data Analyst,150000,USD,150000.0,IN,100,US,L
74,2021,EX,FT,Data Analyst,235000,USD,235000.0,US,100,US,L
75,2021,SE,FT,Data Scientist,45000,EUR,53192.0,FR,50,FR,L
76,2021,MI,FT,Data Analyst,100000,USD,100000.0,US,100,US,M
77,2021,MI,PT,Data Scientist,400000,INR,5409.0,IN,50,IN,M
78,2021,MI,CT,Data Engineer,270000,USD,270000.0,US,100,US,L
79,2021,EN,FT,Data Analyst,80000,USD,80000.0,US,100,US,M
80,2021,SE,FT,Data Analyst,67000,EUR,79197.0,DE,100,DE,L
81,2021,MI,FT,Data Engineer,140000,USD,140000.0,US,100,US,L
82,2021,MI,FT,Data Scientist,68000,CAD,54238.0,GB,50,CA,L
83,2021,MI,FT,Machine Learning Developer,40000,EUR,47282.0,ES,100,ES,S
84,2021,EX,FT,Data Scientist,130000,EUR,153667.0,IT,100,PL,L
85,2021,MI,FT,Data Engineer,110000,PLN,28476.0,PL,100,PL,L
86,2021,EN,FT,Data Analyst,50000,EUR,59102.0,FR,50,FR,M
87,2021,MI,FT,Data Analyst,110000,USD,110000.0,US,100,US,L
88,2021,SE,FT,Data Analyst,170000,USD,170000.0,US,100,US,L
89,2021,SE,FT,Data Analyst,80000,USD,80000.0,BG,100,US,S
90,2021,SE,FT,Data Analyst,75000,EUR,88654.0,GR,100,DK,L
91,2021,EN,FT,Data Scientist,65000,EUR,76833.0,DE,100,DE,S
92,2021,MI,FT,Data Analyst,1450000,INR,19609.0,IN,100,IN,L
93,2021,SE,FT,Data Engineer,276000,USD,276000.0,US,0,US,L
94,2021,EN,FT,Data Scientist,2200000,INR,29751.0,IN,50,IN,L
95,2021,MI,FT,Data Engineer,120000,SGD,89294.0,SG,50,SG,L
96,2021,EN,PT,Data Scientist,12000,USD,12000.0,BR,100,US,S
98,2021,EN,FT,Data Engineer,70000,USD,70000.0,US,100,US,M
99,2021,MI,FT,Data Engineer,81000,EUR,95746.0,DE,100,US,S
100,2021,MI,FT,Data Analyst,75000,USD,75000.0,US,0,US,L
101,2021,SE,FT,Data Engineer,150000,USD,150000.0,US,100,US,L
102,2021,MI,FT,Data Analyst,11000000,HUF,36259.0,HU,50,US,L
103,2021,MI,FT,Data Analyst,62000,USD,62000.0,US,0,US,L
104,2021,MI,FT,Data Scientist,73000,USD,73000.0,US,0,US,L
105,2021,MI,FT,Data Analyst,37456,GBP,51519.0,GB,50,GB,L
106,2021,MI,FT,Data Scientist,235000,CAD,187442.0,CA,100,CA,L
107,2021,SE,FT,Data Engineer,115000,USD,115000.0,US,100,US,S
108,2021,SE,FT,Data Engineer,150000,USD,150000.0,US,100,US,M
109,2021,EN,FT,Data Engineer,2250000,INR,30428.0,IN,100,IN,L
110,2021,SE,FT,Machine Learning Developer,80000,EUR,94564.0,DE,50,DE,L
111,2021,SE,FT,Data Engineer,82500,GBP,113476.0,GB,100,GB,M
112,2021,SE,FT,Data Engineer,75000,GBP,103160.0,GB,100,GB,S
113,2021,EN,PT,Data Scientist,12000,USD,12000.0,PK,100,US,M
114,2021,MI,FT,Data Engineer,38400,EUR,45391.0,NL,100,NL,L
115,2021,EN,FT,Machine Learning Developer,225000,USD,225000.0,US,100,US,L
116,2021,MI,FT,Data Scientist,50000,USD,50000.0,NG,100,NG,L
117,2021,MI,FT,Data Engineer,34000,EUR,40189.0,GR,100,GR,M
118,2021,EN,FT,Data Analyst,90000,USD,90000.0,US,100,US,S
119,2021,MI,FT,Data Engineer,200000,USD,200000.0,US,100,US,L
120,2021,MI,FT,Data Engineer,60000,USD,60000.0,ES,50,RO,M
121,2021,SE,FT,Data Engineer,200000,USD,200000.0,US,100,US,M
122,2021,EN,FT,Data Analyst,50000,USD,50000.0,US,100,US,M
123,2021,EN,FT,Data Scientist,80000,GBP,110037.0,GB,0,GB,L
124,2021,EN,PT,Data Analyst,8760,EUR,10354.0,ES,50,ES,M
125,2021,MI,FT,Data Scientist,151000,USD,151000.0,US,100,US,L
126,2021,SE,FT,Machine Learning Developer,120000,USD,120000.0,US,50,US,S
127,2021,MI,FT,Data Scientist,700000,INR,9466.0,IN,0,IN,S
128,2021,EN,FT,Machine Learning Developer,20000,USD,20000.0,IN,100,IN,S
129,2021,SE,FT,Data Scientist,3000000,INR,40570.0,IN,50,IN,L
130,2021,EN,FT,Machine Learning Developer,100000,USD,100000.0,IQ,50,IQ,S
131,2021,EN,FT,Data Scientist,42000,EUR,49646.0,FR,50,FR,M
132,2021,MI,FT,Machine Learning Developer,38400,USD,38400.0,VN,100,US,M
133,2021,SE,FT,Data Engineer,24000,USD,24000.0,BR,100,BR,M
134,2021,EN,FT,Data Scientist,100000,USD,100000.0,US,0,US,S
135,2021,MI,FT,Data Analyst,90000,USD,90000.0,US,100,US,M
136,2021,MI,FT,Data Engineer,7000000,JPY,63711.0,JP,50,JP,S
137,2021,MI,FT,Data Engineer,8500000,JPY,77364.0,JP,50,JP,S
138,2021,SE,FT,Data Scientist,220000,USD,220000.0,US,0,US,L
139,2021,EN,FT,Data Scientist,80000,USD,80000.0,US,100,US,M
140,2021,MI,FT,Data Analyst,135000,USD,135000.0,US,100,US,L
141,2021,SE,FT,Data Scientist,240000,USD,240000.0,US,0,US,L
142,2021,SE,FT,Data Engineer,150000,USD,150000.0,US,0,US,L
143,2021,MI,FT,Data Scientist,82500,USD,82500.0,US,100,US,S
144,2021,MI,FT,Data Engineer,100000,USD,100000.0,US,100,US,L
145,2021,SE,FT,Machine Learning Developer,70000,EUR,82744.0,BE,50,BE,M
146,2021,MI,FT,Data Scientist,53000,EUR,62649.0,FR,50,FR,M
147,2021,MI,FT,Data Engineer,90000,USD,90000.0,US,100,US,L
148,2021,SE,FT,Data Engineer,153000,USD,153000.0,US,100,US,L
149,2021,SE,FT,Data Engineer,160000,USD,160000.0,BR,100,US,S
150,2021,SE,FT,Data Scientist,168000,USD,168000.0,JP,0,JP,S
151,2021,MI,FT,Data Scientist,150000,USD,150000.0,US,100,US,M
152,2021,MI,FT,Data Scientist,95000,CAD,75774.0,CA,100,CA,L
153,2021,EN,FT,Data Scientist,13400,USD,13400.0,UA,100,UA,L
154,2021,SE,FT,Data Scientist,144000,USD,144000.0,US,100,US,L
155,2021,SE,FT,Data Engineer,159500,CAD,127221.0,CA,50,CA,L
156,2021,MI,FT,Data Scientist,160000,SGD,119059.0,SG,100,IL,M
158,2021,SE,FT,Data Analyst,120000,USD,120000.0,US,100,US,M
159,2021,EN,FT,Machine Learning Developer,125000,USD,125000.0,US,100,US,S
160,2021,EX,FT,Data Analyst,230000,USD,230000.0,RU,50,RU,L
161,2021,EX,FT,Data Scientist,85000,USD,85000.0,RU,0,RU,M
162,2021,MI,FT,Data Engineer,24000,EUR,28369.0,MT,50,MT,L
163,2021,EN,FT,Data Scientist,54000,EUR,63831.0,DE,50,DE,L
164,2021,EX,FT,Data Scientist,110000,EUR,130026.0,DE,50,DE,M
165,2021,SE,FT,Data Scientist,165000,USD,165000.0,US,100,US,L
166,2021,EN,FT,Data Engineer,80000,USD,80000.0,US,100,US,L
167,2021,EX,FT,Data Scientist,250000,USD,250000.0,US,0,US,L
168,2021,EN,FT,Data Analyst,55000,USD,55000.0,US,50,US,S
169,2021,MI,FT,Data Engineer,150000,USD,150000.0,US,100,US,L
170,2021,MI,FT,Data Engineer,170000,USD,170000.0,US,100,US,L
171,2021,MI,FT,Data Engineer,60000,GBP,82528.0,GB,100,GB,L
172,2021,EN,FT,Data Analyst,60000,USD,60000.0,US,100,US,S
173,2021,SE,FT,Data Scientist,235000,USD,235000.0,US,100,US,L
174,2021,SE,FT,Data Scientist,51400,EUR,60757.0,PT,50,PT,L
175,2021,SE,FT,Data Engineer,174000,USD,174000.0,US,100,US,L
176,2021,MI,FT,Data Scientist,58000,MXN,2859.0,MX,0,MX,S
177,2021,MI,FT,Data Scientist,30400000,CLP,40038.0,CL,100,CL,L
178,2021,EN,FT,Machine Learning Developer,81000,USD,81000.0,US,50,US,S
179,2021,MI,FT,Data Scientist,420000,INR,5679.0,IN,100,US,S
180,2021,MI,FT,Data Engineer,1672000,INR,22611.0,IN,0,IN,L
181,2021,MI,FT,Data Scientist,76760,EUR,90734.0,DE,50,DE,L
182,2021,MI,FT,Data Engineer,22000,EUR,26005.0,RO,0,US,L
183,2021,SE,FT,Data Analyst,45000,GBP,61896.0,GB,50,GB,L
184,2021,MI,FL,Machine Learning Developer,12000,USD,12000.0,PK,50,PK,M
185,2021,MI,FT,Data Engineer,4000,USD,4000.0,IR,100,IR,M
186,2021,SE,FT,Data Analyst,50000,USD,50000.0,VN,100,GB,M
187,2021,EX,FT,Data Scientist,59000,EUR,69741.0,FR,100,ES,S
188,2021,SE,FT,Data Engineer,65000,EUR,76833.0,RO,50,GB,S
189,2021,MI,FT,Machine Learning Developer,74000,USD,74000.0,JP,50,JP,S
190,2021,SE,FT,Data Scientist,152000,USD,152000.0,US,100,FR,L
191,2021,EN,FT,Machine Learning Developer,21844,USD,21844.0,CO,50,CO,M
192,2021,MI,FT,Data Engineer,18000,USD,18000.0,MD,0,MD,S
193,2021,SE,FT,Data Scientist,174000,USD,174000.0,US,100,US,L
194,2021,SE,FT,Data Scientist,120500,CAD,96113.0,CA,50,CA,L
195,2021,MI,FT,Data Scientist,147000,USD,147000.0,US,50,US,L
196,2021,EN,FT,Data Analyst,9272,USD,9272.0,KE,100,KE,S
197,2021,SE,FT,Machine Learning Developer,1799997,INR,24342.0,IN,100,IN,L
198,2021,SE,FT,Data Scientist,4000000,INR,54094.0,IN,50,US,L
199,2021,EN,FT,Data Scientist,90000,USD,90000.0,US,100,US,S
200,2021,MI,FT,Data Scientist,52000,EUR,61467.0,DE,50,AT,M
201,2021,SE,FT,Machine Learning Developer,195000,USD,195000.0,US,100,US,M
202,2021,MI,FT,Data Scientist,32000,EUR,37825.0,ES,100,ES,L
203,2021,SE,FT,Data Scientist,50000,USD,50000.0,FR,100,US,S
204,2021,MI,FT,Data Scientist,160000,USD,160000.0,US,100,US,L
205,2021,MI,FT,Data Scientist,69600,BRL,12901.0,BR,0,BR,S
206,2021,SE,FT,Machine Learning Developer,200000,USD,200000.0,US,100,US,L
207,2021,SE,FT,Data Engineer,165000,USD,165000.0,US,0,US,M
208,2021,MI,FL,Data Engineer,20000,USD,20000.0,IT,0,US,L
209,2021,SE,FT,Data Analyst,120000,USD,120000.0,US,0,US,L
210,2021,MI,FT,Machine Learning Developer,21000,EUR,24823.0,SI,50,SI,L
211,2021,MI,FT,Data Scientist,48000,EUR,56738.0,FR,50,FR,S
212,2021,MI,FT,Data Engineer,48000,GBP,66022.0,HK,50,GB,S
213,2021,EN,FT,Data Engineer,435000,INR,5882.0,IN,0,CH,L
214,2021,EN,FT,Machine Learning Developer,21000,EUR,24823.0,DE,50,DE,M
215,2021,SE,FT,Data Engineer,185000,USD,185000.0,US,100,US,L
216,2021,EN,PT,Data Engineer,180000,DKK,28609.0,DK,50,DK,S
218,2021,MI,FT,Machine Learning Developer,75000,EUR,88654.0,BE,100,BE,M
219,2021,SE,FT,Data Analyst,140000,USD,140000.0,US,100,US,L
220,2021,MI,FT,Machine Learning Developer,180000,PLN,46597.0,PL,100,PL,L
221,2021,MI,FT,Data Scientist,85000,GBP,116914.0,GB,50,GB,L
222,2021,MI,FT,Data Scientist,2500000,INR,33808.0,IN,0,IN,M
223,2021,MI,FT,Data Scientist,40900,GBP,56256.0,GB,50,GB,L
224,2021,SE,FT,Machine Learning Developer,225000,USD,225000.0,US,100,CA,L
226,2021,SE,FT,Data Scientist,110000,CAD,87738.0,CA,100,CA,S
227,2021,MI,FT,Data Scientist,75000,EUR,88654.0,DE,50,DE,L
228,2021,SE,FT,Data Scientist,135000,USD,135000.0,US,0,US,L
229,2021,SE,FT,Data Analyst,90000,CAD,71786.0,CA,100,CA,M
230,2021,EN,FT,Data Engineer,1200000,INR,16228.0,IN,100,IN,L
231,2021,SE,FT,Data Engineer,256000,USD,256000.0,US,100,US,S
232,2021,SE,FT,Data Engineer,200000,USD,200000.0,US,100,US,L
233,2021,SE,FT,Data Analyst,200000,USD,200000.0,US,100,US,L
234,2021,MI,FT,Data Engineer,180000,USD,180000.0,US,100,US,L
235,2021,MI,FT,Data Scientist,110000,USD,110000.0,US,0,US,S
236,2021,MI,FT,Data Scientist,80000,CAD,63810.0,CA,100,CA,M
237,2021,MI,FT,Data Scientist,39600,EUR,46809.0,ES,100,ES,M
238,2021,EN,FT,Data Scientist,4000,USD,4000.0,VN,0,VN,M
239,2021,EN,FT,Data Engineer,1600000,INR,21637.0,IN,50,IN,M
240,2021,SE,FT,Data Scientist,130000,CAD,103691.0,CA,100,CA,L
241,2021,MI,FT,Data Analyst,80000,USD,80000.0,US,100,US,L
242,2021,MI,FT,Data Engineer,110000,USD,110000.0,US,100,US,L
244,2021,EN,FT,Data Scientist,1335000,INR,18053.0,IN,100,AS,S
245,2021,MI,FT,Data Engineer,52500,GBP,72212.0,GB,50,GB,L
246,2021,EN,FT,Data Scientist,31000,EUR,36643.0,FR,50,FR,L
247,2021,MI,FT,Data Engineer,108000,TRY,12103.0,TR,0,TR,M
248,2021,SE,FT,Data Engineer,70000,GBP,96282.0,GB,50,GB,L
249,2021,SE,FT,Data Analyst,170000,USD,170000.0,US,100,US,M
250,2021,MI,FT,Data Scientist,115000,USD,115000.0,US,50,US,L
253,2021,EN,FT,Data Scientist,2100000,INR,28399.0,IN,100,IN,M
254,2021,MI,FT,Data Analyst,93000,USD,93000.0,US,100,US,L
255,2021,SE,FT,Data Engineer,125000,CAD,99703.0,CA,50,CA,M
257,2021,SE,FT,Data Scientist,147000,EUR,173762.0,DE,100,DE,M
258,2021,SE,FT,Machine Learning Developer,185000,USD,185000.0,US,50,US,L
259,2021,EX,FT,Data Scientist,120000,EUR,141846.0,DE,0,DE,L
260,2021,MI,FT,Data Scientist,130000,USD,130000.0,US,50,US,L
261,2021,SE,FT,Data Analyst,54000,EUR,63831.0,DE,50,DE,L
262,2021,MI,FT,Data Scientist,1250000,INR,16904.0,IN,100,IN,S
263,2021,SE,FT,Machine Learning Developer,4900000,INR,66265.0,IN,0,IN,L
264,2021,MI,FT,Data Scientist,21600,EUR,25532.0,RS,100,DE,S
265,2021,SE,FT,Data Engineer,160000,USD,160000.0,PR,50,US,S
266,2021,MI,FT,Data Engineer,93150,USD,93150.0,US,0,US,M
267,2021,MI,FT,Data Engineer,111775,USD,111775.0,US,0,US,M
268,2021,MI,FT,Data Engineer,250000,TRY,28016.0,TR,100,TR,M
269,2021,EN,FT,Data Engineer,55000,EUR,65013.0,DE,50,DE,M
270,2021,EN,FT,Data Engineer,72500,USD,72500.0,US,100,US,L
271,2021,SE,FT,Data Engineer,102000,BRL,18907.0,BR,0,BR,M
272,2021,EN,FT,Data Scientist,65000,EUR,76833.0,DE,0,DE,L
273,2021,EN,FT,Machine Learning Developer,85000,USD,85000.0,NL,100,DE,S
274,2021,SE,FT,Data Scientist,65720,EUR,77684.0,FR,50,FR,M
275,2021,EN,FT,Data Scientist,100000,USD,100000.0,US,100,US,M
276,2021,EN,FT,Data Scientist,58000,USD,58000.0,US,50,US,L
277,2021,SE,FT,Data Scientist,55000,USD,55000.0,ES,100,ES,L
278,2021,MI,FT,Data Scientist,20000,USD,200000.0,IN,100,US,L
279,2021,MI,FT,Data Analis,200000,USD,200000.0,IN,100,US,L
280,2021,SE,FT,Data Scientist,180000,TRY,20171.0,TR,50,TR,L
281,2021,EN,FT,Data Analyst,50000,EUR,59102.0,LU,100,LU,L
282,2021,MI,FT,Data Engineer,112000,USD,112000.0,US,100,US,L
283,2021,EN,FT,Data Scientist,100000,USD,100000.0,JE,0,CN,L
284,2021,MI,PT,Data Engineer,59000,EUR,69741.0,NL,100,NL,L
285,2021,SE,CT,Data Scientist,105000,USD,105000.0,US,100,US,M
286,2021,MI,FT,Data Scientist,69999,USD,69999.0,CZ,50,CZ,L
